,text,named_ents,named_ents_nolabel,chunk,compounds,verbs,re_subtree,re_chunk_v_chunk,adj,adj_noun,preps,noun_pre_noun
10,The questions are mine and have not been shared with the commission or the campaigns.,[],[],"['The questions', 'mine', 'the commission', 'the campaigns']",[],[shared],"('questions', 'commission', 'are')","('questions', 'be mine', 'commission')",[],[],[with],[]
11,The audience here in the room has agreed to remain silent so that we can focus on what the candidates are saying.,[],[],"['The audience', 'the room', 'we', 'what', 'the candidates']",[],"[agreed, remain, focus, saying]","('candidates', 'what', 'agreed')","('audience we candidates', 'agree', 'room what')",[],[],"[in, on]",[]
12,"I will invite you to applaud, however, at this moment, as we welcome the candidates: Democratic nominee for president of the United States, Hillary Clinton, and Republican nominee for president of the United States, Donald J. Trump.","[('Democratic', 'NORP'), ('the United States', 'GPE'), ('Hillary Clinton', 'PERSON'), ('Republican', 'NORP'), ('the United States', 'GPE'), ('Donald J. Trump', 'PERSON')]","['Democratic', 'the United States', 'Hillary Clinton', 'Republican', 'the United States', 'Donald J. Trump']","['I', 'you', 'this moment', 'we', 'the candidates', 'Democratic nominee', 'president', 'the United States', 'Hillary Clinton', 'Republican nominee', 'president', 'the United States', 'Donald J. Trump']","['United States', 'Hillary Clinton', 'United States', 'Donald J. Trump']","[invite, applaud, welcome]","('we', 'United States', 'invite')","('I we', 'invite democratic republican', 'you applaud moment candidates president States president States')","[Democratic, Republican]",[],"[to, at, for, of, for, of]","['Democratic nominee for president', 'president of United States', 'Republican nominee for president', 'president of United States']"
13,(APPLAUSE)   ,[],[],['(APPLAUSE'],[],[],"('', '', 'APPLAUSE')","('', 'APPLAUSE', '')",[],[],[],[]
14,"How are you, Donald?","[('Donald', 'PERSON')]",['Donald'],['you'],[],[],"('you', '', 'are')","('you', 'be', '')",[],[],[],[]
15,(APPLAUSE)   Good luck to you.,[],[],"['(APPLAUSE', '  Good luck', 'you']",[],[],"('', 'you', 'APPLAUSE')","('', 'APPLAUSE good', 'you')",[Good],[],[to],[]
16,(APPLAUSE),[],[],['(APPLAUSE'],[],[],"('', '', 'APPLAUSE')","('', 'APPLAUSE', '')",[],[],[],[]
17,"Well, I do not expect us to cover all the issues of this campaign tonight, but I remind everyone, there are two more presidential debates scheduled.","[('tonight', 'TIME'), ('two', 'CARDINAL')]","['tonight', 'two']","['I', 'us', 'all the issues', 'this campaign', 'I', 'everyone', 'two more presidential debates']",[],"[expect, cover, remind, scheduled]","('I', 'everyone', 'are')","('I us I', 'be presidential debate', 'issues campaign everyone')",[presidential],[],[of],['issues of campaign']
18,"We are going to focus on many of the issues that voters tell us are most important, and we are going to press for specifics.",[],[],"['We', 'the issues', 'voters', 'us', 'we', 'specifics']",[],"[going, focus, tell, are, going, press]","('we', 'specifics', 'going')","('We voters we', 'go', 'many issues us specifics')",[],[],"[on, of, for]",[]
19,"I am honored to have this role, but this evening belongs to the candidates and, just as important, to the American people.","[('American', 'NORP')]",['American'],"['I', 'this role', 'this evening', 'the candidates', 'the American people']",[],"[honored, have, belongs]","('American people', 'evening', 'honored')","('I evening', 'honor american', 'role candidates people')",[American],['American people'],"[to, to]",[]
20,"Candidates, we look forward to hearing you articulate your policies and your positions, as well as your visions and your values.",[],[],"['we', 'you', 'your policies', 'your positions', 'your visions', 'your values']",[],"[look, hearing, articulate]","('you', 'visions', 'look')","('we you', 'look', 'policies visions')",[],[],[to],[]
21,"So, let's begin.",[],[],"[""'s""]",[],"[let, begin]","(""'s"", '', 'let')","(""'s"", 'let', '')",[],[],[],[]
22,"we are calling this opening segment ""Achieving Prosperity.”","[('Achieving Prosperity', 'WORK_OF_ART')]",['Achieving Prosperity'],"['we', 'this opening segment', 'Prosperity']",['opening segment'],"[calling, Achieving]","('we', 'Prosperity', 'calling')","('we', 'call', 'segment Prosperity')",[],['opening segment'],[],[]
23,And central to that is jobs.,[],[],['jobs'],[],[],"('', 'that', 'is')","('', 'be job', 'that')",[],[],[to],[]
24,There are two economic realities in America today.,"[('two', 'CARDINAL'), ('America', 'GPE'), ('today', 'DATE')]","['two', 'America', 'today']","['two economic realities', 'America']",[],[],"('', 'America', 'are')","('', 'be economic reality', 'America')",[economic],[],[in],['economic realities in America']
25,"There's been a record six straight years of job growth, and new census numbers show incomes have increased at a record rate after years of stagnation.","[('years', 'DATE')]",['years'],"['a record six straight years', 'job growth', 'new census numbers', 'incomes', 'a record rate', 'years', 'stagnation']","['job growth', 'census numbers', 'record rate']","[been, show, increased]","('incomes', 'stagnation', 'been')","('numbers incomes', 'be record straight year new', 'growth rate years stagnation')","[record, straight, new]","['job growth', 'new census numbers', 'record rate']","[of, at, after, of]","['record straight years of job growth', 'years of stagnation']"
26,"However, income inequality remains significant, and nearly half of Americans are living paycheck to paycheck.","[('nearly half', 'CARDINAL'), ('Americans', 'NORP')]","['nearly half', 'Americans']","['income inequality', 'nearly half', 'Americans', 'paycheck']",['income inequality'],"[remains, living, paycheck]","('half', 'paycheck', 'remains')","('inequality half', 'remain', 'Americans paycheck paycheck')",[],['income inequality'],"[of, to]",['half of Americans']
27,"Beginning with you, Secretary Clinton, why are you a better choice than your opponent to create the kinds of jobs that will put more money into the pockets of American works?","[('Clinton', 'PERSON'), ('American', 'NORP')]","['Clinton', 'American']","['you', 'you', 'a better choice', 'your opponent', 'the kinds', 'jobs', 'more money', 'the pockets', 'American works']",['Secretary Clinton'],"[Beginning, create, put]","('that', 'American works', 'are')","('you that', 'be well choice more american', 'you opponent kinds jobs money pockets works')","[better, more, American]","['more money', 'American works']","[with, than, of, into, of]","['kinds of jobs', 'pockets of American works']"
28,  ,[],[],[],[],[],"('', '', '  ')","('', '', '')",[],[],[],[]
29,"Well, thank you, Lester, and thanks to Hofstra for hosting us.","[('Lester', 'GPE'), ('Hofstra', 'ORG')]","['Lester', 'Hofstra']","['you', 'Hofstra', 'us']",[],"[thank, hosting]","('', 'us', 'thank')","('', 'thank', 'you Hofstra us')",[],[],"[to, for]",['thanks to Hofstra']
30,The central question in this election is really what kind of country we want to be and what kind of future we'll build together.,[],[],"['The central question', 'this election', 'what kind', 'country', 'we', 'what kind', 'future', 'we']",[],"[want, be, build]","('we', 'future', 'is')","('question we we', 'central be', 'election kind country kind future')",[central],['central question'],"[in, of, of]","['central question in election', 'kind of country', 'kind of future']"
31,"Today is my granddaughter's second birthday, so I think about this a lot.","[('Today', 'DATE'), ('second', 'ORDINAL')]","['Today', 'second']","[""my granddaughter's second birthday"", 'I']",[],[think],"('I', 'this', 'think')","('I', 'second birthday think', 'this')",[second],[],[about],[]
32,"First, we have to build an economy that works for everyone, not just those at the top.","[('First', 'ORDINAL')]",['First'],"['we', 'an economy', 'everyone', 'the top']",[],"[have, build, works]","('that', 'top', 'have')","('we that', 'have', 'economy everyone top')",[],[],"[for, at]",[]
33,"That means we need new jobs, good jobs, with rising incomes.",[],[],"['we', 'new jobs', 'good jobs', 'rising incomes']",[],"[means, need, rising]","('we', 'rising incomes', 'means')","('That we', 'mean new good rise', 'jobs incomes')","[new, good, rising]",['new jobs'],[with],['new jobs with rising incomes']
34,I want us to invest in you.,[],[],"['I', 'us', 'you']",[],"[want, invest]","('us', 'you', 'want')","('I us', 'want', 'you')",[],[],[in],[]
35,I want us to invest in your future.,[],[],"['I', 'us', 'your future']",[],"[want, invest]","('us', 'future', 'want')","('I us', 'want', 'future')",[],[],[in],[]
36,"That means jobs in infrastructure, in advanced manufacturing, innovation and technology, clean, renewable energy, and small business, because most of the new jobs will come from small business.",[],[],"['jobs', 'infrastructure', 'advanced manufacturing', 'innovation', 'technology', 'clean, renewable energy', 'small business', 'the new jobs', 'small business']",[],"[means, come]","('most', 'small business', 'means')","('That most', 'mean advanced clean renewable small new small', 'jobs infrastructure manufacturing jobs business')","[advanced, clean, renewable, small, new, small]","['advanced manufacturing', 'new jobs', 'small business']","[in, in, of, from]","['jobs in infrastructure', 'jobs in advanced manufacturing']"
37,We also have to make the economy fairer.,[],[],"['We', 'the economy']",[],"[have, make, fairer]","('economy', '', 'have')","('We economy', 'have', '')",[],[],[],[]
38,"That starts with raising the national minimum wage and also guarantee, finally, equal pay for women's work.",[],[],"['the national minimum wage', ', finally, equal pay', ""women's work""]",['minimum wage'],"[starts, raising, guarantee]","('That', 'work', 'starts')","('That', 'start national equal', 'wage pay work')","[national, equal]","['national minimum wage', 'equal pay']","[with, for]",['equal pay for work']
39,  I also want to see more companies do profit-sharing.,[],[],"['I', 'more companies', 'profit-sharing']",['profit -'],"[want, see, do]","('more companies', 'sharing', '  ')","('I companies', 'more', 'sharing')",[more],"['more companies', 'profit sharing']",[],[]
40,"If you help create the profits, you should be able to share in them, not just the executives at the top.",[],[],"['you', 'the profits', 'you', 'them', 'not just the executives', 'the top']",[],"[help, create, be, share]","('you', 'top', 'be')","('you you', 'be', 'profits them executives top')",[],[],"[in, at]",['executives at top']
41,And I want us to do more to support people who are struggling to balance family and work.,[],[],"['I', 'us', 'people', 'who', 'family', 'work']",[],"[want, do, support, struggling, balance]","('who', 'family', 'want')","('I us who', 'want', 'more people family')",[],[],[],[]
42,I've heard from so many of you about the difficult choices you face and the stresses that you're under.,[],[],"['I', 'you', 'the difficult choices', 'you', 'the stresses', 'you']",[],"[heard, face, 're]","('you', 'that', 'heard')","('I you you', 'hear difficult', 'many you choices that')",[difficult],['difficult choices'],"[from, of, about]",[]
43,"So let's have paid family leave, earned sick days.",[],[],"[""'s"", 'sick days']",['family leave'],"[let, paid, leave, earned]","(""'s"", 'sick days', 'let')","(""'s"", 'let sick', 'leave days')",[sick],['sick days'],[],[]
44,Let's be sure we have affordable child care and debt-free college.,[],[],"[""'s"", 'we', 'affordable child care', 'debt-free college']",['child care'],"[Let, be, have]","('we', 'child care', 'Let')","(""'s we"", 'let affordable free', 'care')","[affordable, free]",['affordable child care'],[],[]
45,How are we going to do it?,[],[],"['we', 'it']",[],"[going, do]","('we', 'it', 'going')","('we', 'go', 'it')",[],[],[],[]
46,we are going to do it by having the wealthy pay their fair share and close the corporate loopholes.,[],[],"['we', 'it', 'their fair share', 'the corporate loopholes']",[],"[going, do, having, pay, close]","('wealthy', 'corporate loopholes', 'going')","('we wealthy', 'go fair corporate', 'it share loopholes')","[fair, corporate]","['fair share', 'corporate loopholes']",[by],[]
47,"Finally, we tonight are on the stage together, Donald Trump and I. Donald, it is good to be with you.","[('tonight', 'TIME'), ('Donald Trump', 'PERSON'), ('I. Donald', 'PERSON')]","['tonight', 'Donald Trump', 'I. Donald']","['we', 'the stage', 'Donald Trump', 'I. Donald', 'it', 'you']","['Donald Trump', 'I. Donald']",[be],"('it', 'you', 'is')","('we Trump it', 'be', 'stage you')",[],[],"[on, with]",[]
48,we are going to have a debate where we are talking about the important issues facing our country.,[],[],"['we', 'a debate', 'we', 'the important issues', 'our country']",[],"[going, have, talking, facing]","('we', 'country', 'going')","('we we', 'go important', 'debate issues country')",[important],['important issues'],[about],[]
49,"You have to judge us, who can shoulder the immense, awesome responsibilities of the presidency, who can put into action the plans that will make your life better.",[],[],"['You', 'us', 'who', ', awesome responsibilities', 'the presidency', 'who', 'action', 'the plans', 'your life']",[],"[have, judge, shoulder, put, make]","('life', 'plans', 'have')","('You who who that life', 'have awesome', 'us immense responsibilities presidency action plans')",[awesome],['awesome responsibilities'],"[of, into]",['awesome responsibilities of presidency']
50,I hope that I will be able to earn your vote on November 8th.,"[('November 8th', 'DATE')]",['November 8th'],"['I', 'I', 'your vote', 'November 8th']",['November 8th'],"[hope, be, earn]","('I', 'November 8th', 'hope')","('I I', 'hope', 'vote 8th')",[],['November 8th'],[on],[]
51,"  Secretary Clinton, thank you.","[('Clinton', 'PERSON')]",['Clinton'],['you'],['Secretary Clinton'],[thank],"('', 'you', 'thank')","('', 'thank', 'you')",[],[],[],[]
52,"Mr. Trump, the same question to you.","[('Trump', 'PERSON')]",['Trump'],"['Mr. Trump', 'the same question', 'you']",['Mr. Trump'],[],"('', 'you', 'Trump')","('', 'Trump same', 'you')",[same],[],[to],['same question to']
53,it is about putting money — more money into the pockets of American workers.,"[('American', 'NORP')]",['American'],"['it', 'money', 'more money', 'the pockets', 'American workers']",[],[putting],"('it', 'American workers', 'is')","('it', 'be more money american', 'money pockets workers')","[more, American]",['American workers'],"[about, into, of]","['more money into pockets', 'pockets of American workers']"
54,You have up to two minutes.,"[('up to two minutes', 'TIME')]",['up to two minutes'],"['You', 'up to two minutes']",[],[have],"('You', 'minutes', 'have')","('You', 'have', 'minutes')",[],[],[],[]
55,"  Thank you, Lester.","[('Lester', 'GPE')]",['Lester'],['you'],[],[Thank],"('  ', 'you', 'Thank')","('', 'thank', 'you')",[],[],[],[]
56,Our jobs are fleeing the country.,[],[],"['Our jobs', 'the country']",[],[fleeing],"('jobs', 'country', 'fleeing')","('jobs', 'flee', 'country')",[],[],[],[]
57,they are going to Mexico.,"[('Mexico', 'GPE')]",['Mexico'],"['they', 'Mexico']",[],[going],"('they', 'Mexico', 'going')","('they', 'go', 'Mexico')",[],[],[to],[]
58,they are going to many other countries.,[],[],"['they', 'many other countries']",[],[going],"('they', 'other countries', 'going')","('they', 'go many other', 'countries')","[many, other]",['many other countries'],[to],[]
59,You look at what China is doing to our country in terms of making our product.,"[('China', 'GPE')]",['China'],"['You', 'what', 'China', 'our country', 'terms', 'our product']",[],"[look, doing, making]","('China', 'product', 'look')","('You China', 'look', 'what country terms product')",[],[],"[at, to, in, of]",['terms of']
60,"they are devaluing their currency, and there's nobody in our government to fight them.",[],[],"['they', 'their currency', 'nobody', 'our government', 'them']",[],"[devaluing, 's, fight]","('they', 'them', 'devaluing')","('they', 'devalue nobody', 'currency government them')",[],[],[in],[]
61,And we have a very good fight.,[],[],"['we', 'a very good fight']",[],[have],"('we', 'good fight', 'have')","('we', 'have good', 'fight')",[good],['good fight'],[],[]
62,And we have a winning fight.,[],[],"['we', 'a winning fight']",[],"[have, winning]","('we', 'winning fight', 'have')","('we', 'have win', 'fight')",[winning],[],[],[]
63,"Because they are using our country as a piggy bank to rebuild China, and many other countries are doing the same thing.","[('China', 'GPE')]",['China'],"['they', 'our country', 'a piggy bank', 'China', 'many other countries', 'the same thing']",['piggy bank'],"[using, rebuild, doing]","('other countries', 'same thing', 'using')","('they countries', 'use many other same', 'country bank China thing')","[many, other, same]","['piggy bank', 'many other countries', 'same thing']",[as],[]
64,"So we are losing our good jobs, so many of them.",[],[],"['we', 'our good jobs', 'them']",[],[losing],"('we', 'them', 'losing')","('we', 'lose good', 'jobs many them')",[good],['good jobs'],[of],[]
65,"When you look at what's happening in Mexico, a friend of mine who builds plants said it is the eighth wonder of the world.","[('Mexico', 'GPE'), ('eighth', 'ORDINAL')]","['Mexico', 'eighth']","['you', 'what', 'Mexico', 'a friend', 'mine', 'who', 'plants', 'it', 'the eighth wonder', 'the world']",[],"[look, happening, builds, said]","('it', 'world', 'said')","('you what friend who it', 'say eighth wonder', 'Mexico mine plants world')",[eighth],[],"[at, in, of, of]","['friend of mine', 'eighth wonder of world']"
66,"they are building some of the biggest plants anywhere in the world, some of the most sophisticated, some of the best plants.",[],[],"['they', 'the biggest plants', 'the world', 'the best plants']",[],[building],"('they', 'best plants', 'building')","('they', 'build big good', 'some plants world sophisticated plants')","[biggest, best]","['biggest plants', 'best plants']","[of, in, of, of]",[]
67,"With the United States, as he said, not so much.","[('the United States', 'GPE')]",['the United States'],"['the United States', 'he']",['United States'],[said],"('he', 'United States', 'much')","('he', 'much', 'States')",[],[],[With],[]
68,So Ford is leaving.,"[('Ford', 'ORG')]",['Ford'],['Ford'],[],[leaving],"('Ford', '', 'leaving')","('Ford', 'leave', '')",[],[],[],[]
69,"You see that, their small car division leaving.",[],[],"['You', 'their small car division']",['car division'],"[see, leaving]","('car division', 'that', 'see')","('You division', 'see small', 'that')",[small],['small car division'],[],[]
70,"Thousands of jobs leaving Michigan, leaving Ohio.","[('Thousands', 'CARDINAL'), ('Michigan', 'GPE'), ('Ohio', 'GPE')]","['Thousands', 'Michigan', 'Ohio']","['Thousands', 'jobs', 'Michigan', 'Ohio']",[],"[leaving, leaving]","('', 'Ohio', 'Thousands')","('', 'thousand', 'jobs Michigan Ohio')",[],[],[of],['Thousands of jobs']
71,they are all leaving.,[],[],['they'],[],[leaving],"('they', '', 'leaving')","('they', 'leave', '')",[],[],[],[]
72,And we can not allow it to happen anymore.,[],[],"['we', 'it']",[],"[allow, happen]","('it', '', 'allow')","('we it', 'allow', '')",[],[],[],[]
73,"As far as child care is concerned and so many other things, I think Hillary","[('Hillary', 'PERSON')]",['Hillary'],"['child care', 'so many other things', 'I', 'Hillary']",['child care'],"[is, think]","('I', 'Hillary', 'think')","('care I', 'many other thing think', 'Hillary')","[many, other]",['child care'],[],[]
74,and I agree on that.,[],[],['I'],[],[agree],"('I', 'that', 'agree')","('I', 'agree', 'that')",[],[],[on],[]
75,"We probably disagree a little bit as to numbers and amounts and what we are going to do, but perhaps we'll be talking about that later.",[],[],"['We', 'numbers', 'amounts', 'what', 'we', 'we']",[],"[disagree, going, do, talking]","('we', 'that', 'disagree')","('We we we', 'disagree little', 'numbers what that')",[little],[],"[as, to, about]",[]
76,But we have to stop our jobs from being stolen from us.,[],[],"['we', 'our jobs', 'us']",[],"[have, stop, stolen]","('we', 'us', 'have')","('we', 'have', 'jobs us')",[],[],"[from, from]",[]
77,"We have to stop our companies from leaving the United States and, with it, firing all of their people.","[('the United States', 'GPE')]",['the United States'],"['We', 'our companies', 'the United States', 'it', 'their people']",['United States'],"[have, stop, leaving, firing]","('We', 'people', 'have')","('We', 'have', 'companies States it all people')",[],[],"[from, with, of]",[]
78,All you have to do is take a look at Carrier air conditioning in Indianapolis.,"[('Indianapolis', 'GPE')]",['Indianapolis'],"['you', 'a look', 'Carrier air conditioning', 'Indianapolis']",['Carrier air conditioning'],"[have, do, take]","('you', 'Indianapolis', 'is')","('All you', 'be', 'look conditioning Indianapolis')",[],['Carrier air conditioning'],"[at, in]","['look at Carrier air conditioning', 'Carrier air conditioning in Indianapolis']"
79,"They left — fired 1,400 people.","[('1,400', 'CARDINAL')]","['1,400']","['They', '1,400 people']",[],"[left, fired]","('They', 'people', 'fired')","('They', 'fire', 'people')",[],[],[],[]
80,they are going to Mexico.,"[('Mexico', 'GPE')]",['Mexico'],"['they', 'Mexico']",[],[going],"('they', 'Mexico', 'going')","('they', 'go', 'Mexico')",[],[],[to],[]
81,So many hundreds and hundreds of companies are doing this.,"[('hundreds and hundreds', 'CARDINAL')]",['hundreds and hundreds'],"['So many hundreds', 'hundreds', 'companies']",[],[doing],"('many hundreds', 'this', 'doing')","('hundreds', 'many do', 'companies this')",[many],['many hundreds'],[of],['hundreds of companies']
82,  We cannot let it happen.,[],[],"['We', 'it']",[],"[let, happen]","('it', '', 'let')","('We it', 'let', '')",[],[],[],[]
83,"Under my plan, I'll be reducing taxes tremendously, from 35 percent to 15 percent for companies, small and big businesses.","[('35 percent to', 'PERCENT')]",['35 percent to'],"['my plan', 'I', 'taxes', '35 percent', '15 percent', 'companies', 'small and big businesses']",[],[reducing],"('I', 'companies', 'reducing')","('I', 'reduce small', 'plan taxes percent percent companies')",[small],[],"[Under, from, to, for]",['percent for companies']
84,That's going to be a job creator like we haven't seen since Ronald Reagan.,"[('Ronald Reagan', 'PERSON')]",['Ronald Reagan'],"['a job creator', 'we', 'Ronald Reagan']","['job creator', 'Ronald Reagan']","[going, be, seen]","('we', 'Ronald Reagan', 'going')","('That we', 'go creator', 'Reagan')",[],[],[since],[]
85,it is going to be a beautiful thing to watch.,[],[],"['it', 'a beautiful thing']",[],"[going, be, watch]","('it', '', 'going')","('it', 'go beautiful thing', '')",[beautiful],[],[],[]
86,Companies will come.,[],[],['Companies'],[],[come],"('Companies', '', 'come')","('Companies', 'come', '')",[],[],[],[]
87,They will build.,[],[],['They'],[],[build],"('They', '', 'build')","('They', 'build', '')",[],[],[],[]
88,They will expand.,[],[],['They'],[],[expand],"('They', '', 'expand')","('They', 'expand', '')",[],[],[],[]
89,New companies will start.,[],[],['New companies'],[],[start],"('New companies', '', 'start')","('companies', 'new start', '')",[New],['New companies'],[],[]
90,"And I look very, very much forward to doing it.",[],[],"['I', 'it']",[],"[look, doing]","('I', 'it', 'look')","('I', 'look', 'it')",[],[],[to],[]
91,"We have to renegotiate our trade deals, and we have to stop these countries from stealing our companies and our jobs.",[],[],"['We', 'our trade deals', 'we', 'these countries', 'our companies', 'our jobs']",['trade deals'],"[have, renegotiate, have, stop, stealing]","('we', 'companies', 'have')","('We we', 'have', 'deals countries companies')",[],['trade deals'],[from],[]
92,"  Secretary Clinton, would you like to respond?","[('Clinton', 'PERSON')]",['Clinton'],"['Secretary Clinton', 'you']",['Secretary Clinton'],"[like, respond]","('you', '', 'like')","('you', 'like', '')",[],[],[],[]
93,  ,[],[],[],[],[],"('', '', '  ')","('', '', '')",[],[],[],[]
94,"Well, I think that trade is an important issue.",[],[],"['I', 'trade', 'an important issue']",[],[think],"('trade', '', 'think')","('I trade', 'think important issue', '')",[important],[],[],[]
95,"Of course, we are 5 percent of the world's population; we have to trade with the other 95 percent.","[('5 percent', 'PERCENT'), ('the other 95 percent', 'PERCENT')]","['5 percent', 'the other 95 percent']","['we', '5 percent', ""the world's population"", 'we', 'the other 95 percent']",[],"[have, trade]","('we', 'percent', 'have')","('we we', 'percent have other', 'population percent')",[other],['other percent'],"[of, with]",['percent of population']
96,"And we need to have smart, fair trade deals.",[],[],"['we', 'smart, fair trade deals']",['trade deals'],"[need, have]","('we', 'trade deals', 'need')","('we', 'need smart fair', 'deals')","[smart, fair]",['smart fair trade deals'],[],[]
97,"We also, though, need to have a tax system that rewards work and not just financial transactions.",[],[],"['We', 'a tax system', 'work', 'not just financial transactions']",['tax system'],"[need, have, rewards]","('that', 'work', 'need')","('We that', 'need financial', 'system work')",[financial],['tax system'],[],[]
98,And the kind of plan that Donald has put forth would be trickle-down economics all over again.,"[('Donald', 'PERSON')]",['Donald'],"['the kind', 'plan', 'Donald', 'trickle-down economics']",[],"[put, be, trickle]","('Donald', 'that', 'be')","('kind Donald', 'be trickle economic', 'plan that')",[trickle],[],[of],['kind of plan']
99,"In fact, it would be the most extreme version, the biggest tax cuts for the top percent of the people in this country than we've ever had.",[],[],"['fact', 'it', 'the most extreme version', 'the biggest tax cuts', 'the top percent', 'the people', 'this country', 'we']",['tax cuts'],"[be, had]","('we', 'country', 'be')","('it we', 'be extreme version big top', 'fact percent people country')","[extreme, biggest, top]",['top percent'],"[In, for, of, in]","['biggest tax cuts for top percent', 'top percent of people', 'people in country']"
100,"I call it trumped-up trickle-down, because that's exactly what it would be.",[],[],"['I', 'it', 'trickle-down', 'exactly what', 'it']",['trickle -'],"[call, trumped, 's, be]","('it', 'down', 'call')","('I it that it', 'call what', 'down')",[],['trickle down'],[],[]
101,That is not how we grow the economy.,[],[],"['we', 'the economy']",[],[grow],"('we', 'economy', 'is')","('That we', 'be', 'economy')",[],[],[],[]
102,"We just have a different view about what's best for growing the economy, how we make investments that will actually produce jobs and rising incomes.",[],[],"['We', 'a different view', 'what', 'the economy', 'we', 'investments', 'jobs', 'rising incomes']",[],"[have, 's, growing, make, produce, rising]","('that', 'jobs', 'have')","('We what we that', 'have different rise', 'view economy investments jobs')","[different, rising]",['different view'],"[about, for]",['different view about']
103,I think we come at it from somewhat different perspectives.,[],[],"['I', 'we', 'it', 'somewhat different perspectives']",[],"[think, come]","('we', 'different perspectives', 'think')","('I we', 'think different', 'it perspectives')",[different],['different perspectives'],"[at, from]",[]
104,I understand that.,[],[],['I'],[],[understand],"('I', 'that', 'understand')","('I', 'understand', 'that')",[],[],[],[]
105,"You know, Donald was very fortunate in his life, and that's all to his benefit.","[('Donald', 'PERSON')]",['Donald'],"['You', 'Donald', 'his life', 'his benefit']",[],"[know, 's]","('that', 'benefit', 'was')","('You Donald that', 'be all', 'life benefit')",[],[],"[in, to]",[]
